1. [1] Dolo 650 650mg | Tablet | Micro Labs
517. [517] Ampstin SR 20ml | Tablet | Alembic
518. [518] Amlbuvir 200mcg | Tablet | Sanofi
519. [519] Famsolone M 500mg | Ointment | J.B. Chemicals
520. [520] Ledtidine SR 800mg | Injection | Emcure
521. [521] Sofpiride 800mg | Capsule | FDC
522. [522] Velgliptin 50mg | Sachet | FDC
523. [523] Sulpride 10mg | Powder | Alembic
524. [524] Sulfine 100mcg | Tablet | Alkem
525. [525] Azloprevir 0.5mg | Syrup | Pfizer
526. [526] Tigeformin 75mg | Drops | Torrent
527. [527] Cilzine M 800mg | Injection | Pfizer
528. [528] Cidpium 1mg | Ointment | Cipla
529. [529] Penzosin Forte 1000mg | Ointment | Torrent
530. [530] Trilopram 1gm | Capsule | J.B. Chemicals
531. [531] Carbasvir O 400mg | Sachet | Aurobindo
532. [532] Atordone O 2.5mg | Powder | J.B. Chemicals
533. [533] Azloxicam M 0.5mg | Syrup | Glenmark
534. [534] Dacflozin A 1mg | Capsule | Aurobindo
535. [535] Montkast 5mg | Drops | Micro Labs
536. [536] Tendipine 0.5mg | Drops | Abbott
537. [537] Cilpam M 2.5mg | Inhaler | Dr. Reddys
538. [538] Ledbactam 800mg | Cream | Abbott
539. [539] Atorpril A 20mg | Cream | Biocon
540. [540] Avitidine ER 2mg | Injection | Pfizer
541. [541] Tigesetron ER 2.5mg | Injection | Abbott
542. [542] Clinmycin 20ml | Tablet | USV
543. [543] Carbpine O 50mcg | Injection | Pfizer
544. [544] Cefprofen O 2.5mg | Powder | Serum Institute
545. [545] Fosstatin ER 50mcg | Sachet | Cipla
546. [546] Ribastin 100mg | Sachet | Serum Institute
547. [547] Erypitant 5ml | Injection | Lupin
548. [548] Doriprevir ER 10ml | Tablet | Dr. Reddys
549. [549] Cidox Forte 400mg | Cream | Emcure
550. [550] Biasartan M 100mcg | Sachet | Alkem
551. [551] Dorixicam 500mg | Tablet | Aurobindo
552. [552] Montox 800mg | Cream | Sanofi
553. [553] Sitsetron M 250mg | Capsule | Biocon
554. [554] Parapam 50mg | Capsule | J.B. Chemicals
555. [555] Panzepam 0.5mg | Tablet | Cipla
556. [556] Linenide O 100mcg | Drops | Biocon
557. [557] Tigepam SR 20ml | Drops | USV
558. [558] Sulfungin A 2.5mg | Syrup | Aristo
559. [559] Omeline 150mg | Tablet | Emcure
560. [560] Valpenem M 650mg | Powder | Alkem
561. [561] Amppine 400mg | Injection | J.B. Chemicals
562. [562] Dorisone SR 100mcg | Tablet | Micro Labs
563. [563] Carbmicin ER 250mg | Injection | Sanofi
564. [564] Oxaprazole Plus 20mg | Drops | Sun Pharma
565. [565] Novepine 75mg | Syrup | Zydus Cadila
566. [566] Dappitant D 250mg | Ointment | Serum Institute
567. [567] Merocillin Plus 100mg | Injection | Dr. Reddys
568. [568] Amllam 40mg | Inhaler | GSK
569. [569] Ampfenac ER 5ml | Ointment | Abbott
570. [570] Linepril 50mg | Drops | Lupin
571. [571] Linclav 10ml | Capsule | Zydus Cadila
572. [572] Ampdoc 150mg | Injection | Serum Institute
573. [573] Azithzepam Forte 5ml | Powder | Aurobindo
574. [574] Vabofungin Plus 50mg | Capsule | Sanofi
575. [575] Atorprevir 0.5mg | Capsule | Emcure
576. [576] Empformin D 800mg | Syrup | Aurobindo
577. [577] Novefungin Plus 40mg | Capsule | Novartis
578. [578] Pipsone 2mg | Inhaler | Micro Labs
579. [579] Cefclav SR 500mg | Ointment | Dr. Reddys
580. [580] Fosmicin 1mg | Syrup | Torrent
581. [581] Panipitant ER 0.5mg | Capsule | Zydus Cadila
582. [582] Tigepride 1gm | Inhaler | Alembic
583. [583] Vabostin 1gm | Inhaler | USV
584. [584] Nafvir 50mcg | Injection | Aristo
585. [585] Acimicin D 50mg | Powder | Abbott
586. [586] Farzolam 40mg | Capsule | Alembic
587. [587] Veltidine D 5mg | Capsule | Dr. Reddys
588. [588] Penpril 1000mg | Sachet | Ipca
589. [589] Methdoc 75mg | Syrup | Sun Pharma
590. [590] Metpam 40mg | Powder | Wockhardt
591. [591] Metpraz 500mg | Tablet | Biocon
592. [592] Linpiride A 5ml | Injection | Pfizer
593. [593] Trilonide Forte 1mg | Sachet | Sun Pharma
594. [594] Ribatine SR 1gm | Powder | Cipla
595. [595] Sofprazole 40mg | Injection | J.B. Chemicals
596. [596] Amlral Plus 75mg | Tablet | Mankind
597. [597] Merokacin Plus 1000mg | Cream | Zydus Cadila
598. [598] Cetkast 50mg | Sachet | Aurobindo
599. [599] Ertastin D 2.5mg | Powder | Mankind
600. [600] Aviterol Forte 500mg | Capsule | Micro Labs
601. [601] Ribanide 5mg | Syrup | Biocon
602. [602] Penkast 2gm | Injection | Intas
603. [603] Sofma 800mg | Cream | Macleods
604. [604] Foszolid M 200mcg | Syrup | Serum Institute
605. [605] Oxafenac 800mg | Inhaler | Micro Labs
606. [606] Relesone Forte 650mg | Inhaler | USV
607. [607] Linral 400mg | Inhaler | Serum Institute
608. [608] Rabtine ER 50mg | Syrup | GSK
609. [609] Ribapril D 1gm | Injection | J.B. Chemicals
610. [610] Paniprevir A 20mg | Cream | Micro Labs
611. [611] Clavdipine 250mg | Inhaler | GSK
612. [612] Cildoc 200mcg | Injection | Intas
613. [613] Farkast D 650mg | Syrup | Cipla
614. [614] Biaclav 20mg | Injection | Alkem
615. [615] Cloxstatin A 20ml | Ointment | Cipla
616. [616] Trilozepam 5ml | Capsule | Intas
617. [617] Lineral 100mcg | Syrup | Sun Pharma
618. [618] Oxadipine 800mg | Drops | Ipca
619. [619] Famgliptin ER 100mcg | Syrup | Sanofi
620. [620] Cloxfungin 1mg | Cream | Lupin
621. [621] Glimsetron 20ml | Injection | USV
622. [622] Amozole Forte 200mg | Inhaler | J.B. Chemicals
623. [623] Carbflozin 100mg | Tablet | Emcure
624. [624] Vabokacin D 150mg | Tablet | Alkem
625. [625] Tigegliptin 5ml | Capsule | Biocon
626. [626] Ledcillin ER 50mg | Injection | Micro Labs
627. [627] Sanopril D 20mg | Tablet | Sun Pharma
628. [628] Rosunide 2.5mg | Ointment | Aristo
629. [629] Amppril 400mg | Syrup | Alkem
630. [630] Clavtine A 10mg | Sachet | Wockhardt
631. [631] Pippium Forte 50mg | Syrup | Dr. Reddys
632. [632] Meroterol 100mcg | Injection | Cipla
633. [633] Tenpenem 50mcg | Ointment | Pfizer
634. [634] Sitxicam M 2gm | Capsule | Novartis
635. [635] Relemycin 0.5mg | Sachet | Torrent
636. [636] Vancprevir SR 150mg | Sachet | Lupin
637. [637] Cilpam 25mg | Powder | Wockhardt
638. [638] Omeprazole ER 1mg | Cream | Aurobindo
639. [639] Pipprofen 100mcg | Cream | Mankind
640. [640] Vancfine 0.5mg | Powder | Glenmark
641. [641] Merocoxib D 400mg | Powder | Micro Labs
642. [642] Rabkast D 150mg | Syrup | Abbott
643. [643] Azlomine 1000mg | Capsule | Biocon
644. [644] Releprofen A 2mg | Powder | Sun Pharma
645. [645] Cloxprazole M 20ml | Capsule | Lupin
646. [646] Parapam D 1000mg | Syrup | J.B. Chemicals
647. [647] Avicillin 500mg | Tablet | Cipla
648. [648] Relecoxib 10mg | Injection | Abbott
649. [649] Erybactam 50mcg | Ointment | Torrent
650. [650] Sitmine ER 2gm | Ointment | Torrent
651. [651] Omemine ER 200mcg | Cream | Ipca
652. [652] Foszole SR 500mg | Powder | Macleods
653. [653] Metcoxib A 20ml | Injection | USV
654. [654] Foslone O 2.5mg | Syrup | Biocon
655. [655] Telpril 10mg | Inhaler | Pfizer
656. [656] Valkacin 10ml | Tablet | Glenmark
657. [657] Penpraz 0.5mg | Tablet | Ipca
658. [658] Ganpitant 5mg | Capsule | Glenmark
659. [659] Clavpraz Plus 2.5mg | Cream | Cipla
660. [660] Telpraz ER 1mg | Powder | Torrent
661. [661] Pentidine 150mg | Cream | Intas
662. [662] Daclone ER 400mg | Injection | Zydus Cadila
663. [663] Omecoxib A 10ml | Tablet | Novartis
664. [664] Paralukast Plus 40mg | Tablet | Torrent
665. [665] Pivma 250mg | Capsule | Intas
666. [666] Vanccycline A 150mg | Drops | Mankind
667. [667] Azithasvir 1000mg | Cream | Dr. Reddys
668. [668] Empmycin O 25mg | Drops | GSK
669. [669] Rabclav Plus 10mg | Ointment | Wockhardt
670. [670] Velpium 400mg | Powder | Pfizer
671. [671] Linmycin A 150mg | Capsule | Micro Labs
672. [672] Glimcillin 75mg | Injection | FDC
673. [673] Sulprazole A 150mg | Ointment | USV
674. [674] Clavline 250mg | Capsule | Emcure
675. [675] Clinconazole 800mg | Powder | Aurobindo
676. [676] Glimdone 20ml | Powder | Cipla
677. [677] Azlosolone M 100mg | Inhaler | Aurobindo
678. [678] Ganxacin 50mcg | Inhaler | Dr. Reddys
679. [679] Rosuxacin D 100mg | Injection | Abbott
680. [680] Foslone M 250mg | Syrup | FDC
681. [681] Linxicam 5ml | Drops | Serum Institute
682. [682] Empsolone ER 1mg | Capsule | Wockhardt
683. [683] Methlone 1000mg | Powder | Mankind
684. [684] Cloxconazole 50mg | Ointment | Micro Labs
685. [685] Meropraz SR 0.5mg | Injection | USV
686. [686] Glimconazole M 650mg | Tablet | Mankind
687. [687] Panfungin 100mg | Powder | Aristo
688. [688] Panizole 10mg | Tablet | Alkem
689. [689] Tazolol Forte 400mg | Capsule | Cipla
690. [690] Erycet Forte 150mg | Syrup | J.B. Chemicals
691. [691] Amlpram 650mg | Injection | Aurobindo
692. [692] Amodoc Plus 5mg | Tablet | Intas
693. [693] Valtine SR 2gm | Tablet | Aurobindo
694. [694] Panipam 100mcg | Sachet | USV
695. [695] Velstin 10ml | Tablet | FDC
696. [696] Ledasvir 200mg | Ointment | Ipca
697. [697] Amoxclav ER 100mg | Cream | Serum Institute
698. [698] Sanoral Plus 0.5mg | Tablet | Wockhardt
699. [699] Ertaclav 2gm | Capsule | J.B. Chemicals
700. [700] Clavtine Plus 1mg | Inhaler | Novartis
701. [701] Colsone D 20ml | Sachet | Wockhardt
702. [702] Aviformin 10mg | Cream | Sun Pharma
703. [703] Linepenem 400mg | Syrup | Pfizer
704. [704] Pangliptin Forte 5mg | Sachet | Cipla
705. [705] Cefcet 40mg | Cream | Macleods
706. [706] Paniconazole D 200mg | Ointment | Biocon
707. [707] Carbzolam M 2gm | Capsule | Alkem
708. [708] Tazomine D 10mg | Cream | Intas
709. [709] Trilovir M 100mg | Cream | Lupin
710. [710] Cetformin Plus 400mg | Capsule | Serum Institute
711. [711] Pipclav 800mg | Powder | Micro Labs
712. [712] Nafzole M 50mg | Sachet | Biocon
713. [713] Empconazole SR 20ml | Injection | Novartis
714. [714] Glimsone 75mg | Injection | J.B. Chemicals
715. [715] Dicloconazole 2mg | Cream | Emcure
716. [716] Amlpium 650mg | Tablet | Dr. Reddys
717. [717] Tazogliptin 1000mg | Injection | Mankind
718. [718] Montma 20ml | Sachet | FDC
719. [719] Doristatin M 20mg | Tablet | Mankind
720. [720] Cefdone 100mcg | Tablet | Alembic
721. [721] Telmine M 100mcg | Tablet | Sanofi
722. [722] Rabasvir M 100mcg | Drops | Wockhardt
723. [723] Pivdone ER 2.5mg | Inhaler | Alembic
724. [724] Cloxpride 5mg | Injection | Zydus Cadila
725. [725] Azithlam 0.5mg | Sachet | Sanofi
726. [726] Velkast O 1mg | Drops | Alembic
727. [727] Levprofen D 75mg | Tablet | Alembic
728. [728] Linestatin ER 0.5mg | Inhaler | Cipla
729. [729] Amoprevir M 50mg | Inhaler | Serum Institute
730. [730] Valbactam 10mg | Powder | FDC
731. [731] Atorral 500mg | Syrup | Torrent
732. [732] Ampasvir O 0.5mg | Powder | Macleods
733. [733] Valvir M 0.5mg | Syrup | Lupin
734. [734] Atorpenem SR 20ml | Cream | Macleods
735. [735] Tazfine 2mg | Powder | FDC
736. [736] Dorilone SR 500mg | Drops | Abbott
737. [737] Colpiride 10ml | Inhaler | FDC
738. [738] Trilosartan Plus 25mg | Capsule | Alkem
739. [739] Methconazole 40mg | Sachet | Sun Pharma
740. [740] Amoformin M 150mg | Sachet | Mankind
741. [741] Glimtine 50mg | Injection | Intas
742. [742] Amlkast SR 100mcg | Powder | Aurobindo
743. [743] Cloxmycin Forte 650mg | Powder | Glenmark
744. [744] Montdone 50mg | Syrup | Zydus Cadila
745. [745] Panidipine 100mg | Injection | Wockhardt
746. [746] Azithzole 1000mg | Sachet | USV
747. [747] Tigesartan Forte 25mg | Powder | Glenmark
748. [748] Azithterol 5mg | Injection | Alembic
749. [749] Dorifungin 150mg | Capsule | Zydus Cadila
750. [750] Amoxpam A 100mg | Sachet | Glenmark
751. [751] Panpitant ER 1gm | Ointment | Serum Institute
752. [752] Vilddipine 25mg | Capsule | Zydus Cadila
753. [753] Linebuvir 500mg | Injection | Torrent
754. [754] Merodone 25mg | Tablet | USV
755. [755] Tazoflozin 75mg | Drops | Dr. Reddys
756. [756] Paragliptin 5ml | Syrup | J.B. Chemicals
757. [757] Oxatine 200mcg | Tablet | Serum Institute
758. [758] Rosuflozin ER 1mg | Ointment | Sun Pharma
759. [759] Montfungin D 100mcg | Ointment | FDC
760. [760] Cidline M 20ml | Tablet | Zydus Cadila
761. [761] Sulpraz 250mg | Drops | USV
762. [762] Dorizolam 500mg | Cream | Dr. Reddys
763. [763] Valbactam Plus 100mg | Capsule | Alkem
764. [764] Pipral 20ml | Drops | Mankind
765. [765] Methkast 50mcg | Capsule | Torrent
766. [766] Rabasvir O 25mg | Inhaler | Lupin
767. [767] Diclopam Forte 10mg | Cream | Macleods
768. [768] Farfenac Forte 20mg | Sachet | Intas
769. [769] Relepitant 5ml | Drops | Wockhardt
770. [770] Farpride 1000mg | Inhaler | Pfizer
771. [771] Ribalukast A 10ml | Drops | Torrent
772. [772] Cilmine 10ml | Inhaler | J.B. Chemicals
773. [773] Avivir O 1gm | Capsule | Novartis
774. [774] Rosuclav Plus 500mg | Powder | Dr. Reddys
775. [775] Tigenide 200mg | Drops | Ipca
776. [776] Empconazole 2gm | Injection | Aristo
777. [777] Cloxpram 20ml | Injection | Pfizer
778. [778] Dapdoc 75mg | Capsule | Wockhardt
779. [779] Lineconazole M 10mg | Syrup | Ipca
780. [780] Methfenac D 2gm | Powder | Ipca
781. [781] Methpitant 200mg | Drops | Cipla
782. [782] Methfenac A 2gm | Inhaler | Macleods
783. [783] Avizole 800mg | Capsule | Ipca
784. [784] Novedipine 250mg | Sachet | Emcure
785. [785] Releterol 1mg | Powder | Torrent
786. [786] Sitdoc 1mg | Capsule | Abbott
787. [787] Cidformin 100mcg | Sachet | Sanofi
788. [788] Amlpride 250mg | Capsule | Sanofi
789. [789] Linecoxib SR 2.5mg | Ointment | Dr. Reddys
790. [790] Dorimine 200mg | Capsule | Cipla
791. [791] Linezine 1mg | Cream | Zydus Cadila
792. [792] Montma 2gm | Cream | Intas
793. [793] Oxaclav 250mg | Injection | Biocon
794. [794] Aciasvir 2mg | Powder | Serum Institute
795. [795] Levnide 400mg | Powder | Abbott
796. [796] Sofasvir O 200mcg | Inhaler | Dr. Reddys
797. [797] Colgliptin 20mg | Tablet | Glenmark
798. [798] Trilokast SR 1mg | Powder | Biocon
799. [799] Pivpiride A 20mg | Inhaler | Novartis
800. [800] Azlolukast 10ml | Tablet | Micro Labs
801. [801] Bacpine 50mg | Ointment | Alkem
802. [802] Oxazepam D 25mg | Tablet | Aristo
803. [803] Omenide ER 200mg | Sachet | Alembic
804. [804] Ticapride M 75mg | Syrup | Biocon
805. [805] Levclav 10ml | Injection | Serum Institute
806. [806] Tazdone O 10ml | Syrup | GSK
807. [807] Tazofungin 10mg | Powder | Novartis
808. [808] Atordoc 5mg | Drops | J.B. Chemicals
809. [809] Glimconazole D 0.5mg | Inhaler | Biocon
810. [810] Cefasvir 2mg | Capsule | Glenmark
811. [811] Bialam ER 20ml | Sachet | Cipla
812. [812] Azlosone O 0.5mg | Syrup | Sun Pharma
813. [813] Suldone 1mg | Injection | Lupin
814. [814] Pivmicin 5mg | Powder | Glenmark
815. [815] Amlprofen 20mg | Ointment | FDC
816. [816] Ticafenac 5ml | Powder | Intas
817. [817] Panibuvir 50mcg | Drops | Cipla
818. [818] Vildox 100mg | Drops | Micro Labs
819. [819] Atorcoxib Forte 1gm | Injection | Wockhardt
820. [820] Ribazepam A 0.5mg | Drops | Aristo
821. [821] Azithfenac A 2mg | Sachet | Dr. Reddys
822. [822] Telformin 800mg | Syrup | Alembic
823. [823] Methmicin 1mg | Tablet | Ipca
824. [824] Sofvir 500mg | Capsule | Alembic
825. [825] Sofsartan 200mg | Sachet | Aristo
826. [826] Atorfine Forte 25mg | Cream | Biocon
827. [827] Trilofungin 2mg | Syrup | FDC
828. [828] Valsolone M 150mg | Cream | Zydus Cadila
829. [829] Vancral O 10mg | Injection | Biocon
830. [830] Famterol Forte 2gm | Ointment | Alkem
831. [831] Valox D 50mcg | Tablet | Alembic
832. [832] Daclukast 250mg | Drops | Aurobindo
833. [833] Vancnide 20ml | Cream | Alkem
834. [834] Rosusolone Forte 2gm | Injection | Biocon
835. [835] Amlox Plus 2gm | Injection | Pfizer
836. [836] Ganzepam D 100mcg | Tablet | Emcure
837. [837] Famfine 800mg | Injection | Alkem
838. [838] Ertalukast M 200mcg | Cream | Micro Labs
839. [839] Sanoprevir 650mg | Injection | Micro Labs
840. [840] Tenmycin A 800mg | Inhaler | Mankind
841. [841] Cetbuvir O 150mg | Cream | Mankind
842. [842] Pankacin 20mg | Inhaler | Macleods
843. [843] Aviasvir 20ml | Injection | Emcure
844. [844] Doripride Plus 50mcg | Cream | J.B. Chemicals
845. [845] Velkacin 650mg | Sachet | Mankind
846. [846] Cetkast 650mg | Syrup | Wockhardt
847. [847] Avilone Forte 100mcg | Syrup | Novartis
848. [848] Doridoc 10mg | Injection | Pfizer
849. [849] Diclocillin Forte 10mg | Syrup | FDC
850. [850] Methflozin 2gm | Injection | Abbott
851. [851] Nafpride A 40mg | Inhaler | Alkem
852. [852] Linepraz D 5ml | Capsule | Alkem
853. [853] Vabocillin 0.5mg | Inhaler | Dr. Reddys
854. [854] Sitdone SR 1000mg | Ointment | Ipca
855. [855] Empsolone 1gm | Powder | USV
856. [856] Cloxsartan 500mg | Sachet | Biocon
857. [857] Methpium 20mg | Injection | Alkem
858. [858] Metpitant 20mg | Capsule | Aristo
859. [859] Cidfine D 0.5mg | Inhaler | Wockhardt
860. [860] Relelam SR 150mg | Ointment | Sanofi
861. [861] Cidzolam D 400mg | Sachet | Dr. Reddys
862. [862] Dacfine A 200mg | Inhaler | Alembic
863. [863] Doriformin A 2gm | Drops | Mankind
864. [864] Metsone 0.5mg | Capsule | Novartis
865. [865] Rabconazole Forte 2gm | Capsule | Serum Institute
866. [866] Relepram 1000mg | Powder | Cipla
867. [867] Amlgliptin 250mg | Cream | Lupin
868. [868] Dapvir SR 40mg | Capsule | Alkem
869. [869] Glimprevir 20mg | Ointment | Serum Institute
870. [870] Ertamycin ER 100mcg | Capsule | Sanofi
871. [871] Cloxdipine 1gm | Inhaler | Biocon
872. [872] Diclomycin 5mg | Injection | Alkem
873. [873] Azithpraz Forte 40mg | Drops | Cipla
874. [874] Velbuvir 1gm | Ointment | FDC
875. [875] Amoformin 50mcg | Inhaler | Serum Institute
876. [876] Fampride 800mg | Cream | Abbott
877. [877] Ertaxicam SR 2mg | Injection | Novartis
878. [878] Carbdipine A 500mg | Tablet | Novartis
879. [879] Clinflozin 650mg | Sachet | USV
880. [880] Velbactam 1000mg | Injection | Intas
881. [881] Clinpium 200mg | Sachet | USV
882. [882] Atorpam 20ml | Tablet | Ipca
883. [883] Doriprofen 1000mg | Cream | Pfizer
884. [884] Glimkacin 10ml | Drops | Intas
885. [885] Noveral 200mcg | Drops | Lupin
886. [886] Pipclav Forte 1000mg | Ointment | Macleods
887. [887] Sitprazole Plus 250mg | Cream | Alembic
888. [888] Veltidine 25mg | Tablet | Macleods
889. [889] Amlconazole 800mg | Capsule | Abbott
890. [890] Vaboformin SR 40mg | Inhaler | USV
891. [891] Soflol 250mg | Powder | Abbott
892. [892] Imipine 100mg | Inhaler | Ipca
893. [893] Ertaxicam 200mg | Ointment | GSK
894. [894] Ganxicam 50mcg | Inhaler | Glenmark
895. [895] Telflozin 20mg | Syrup | Torrent
896. [896] Amllam SR 1000mg | Injection | Macleods
897. [897] Novedone A 200mg | Tablet | Biocon
898. [898] Cilpraz 100mg | Syrup | Mankind
899. [899] Clinox 10mg | Cream | Alembic
900. [900] Clinnide 100mg | Ointment | Torrent
901. [901] Tigetine 10mg | Drops | GSK
902. [902] Imizine Forte 5mg | Injection | Micro Labs
903. [903] Montstin 650mg | Cream | Aurobindo
904. [904] Tenpitant M 5mg | Cream | Pfizer
905. [905] Azithzolam D 0.5mg | Sachet | Cipla
906. [906] Tazzosin ER 10mg | Cream | GSK
907. [907] Panimycin 25mg | Ointment | Zydus Cadila
908. [908] Clinzolam 20mg | Tablet | USV
909. [909] Daclukast Forte 25mg | Drops | FDC
910. [910] Farsetron ER 2.5mg | Syrup | Cipla
911. [911] Aviclav Forte 1gm | Injection | Micro Labs
912. [912] Panisolone 20mg | Tablet | Aurobindo
913. [913] Tenmycin A 100mcg | Sachet | Novartis
914. [914] Glimzolid 10mg | Drops | Serum Institute
915. [915] Valprofen O 250mg | Tablet | Pfizer
916. [916] Ledterol D 2gm | Ointment | Aurobindo
917. [917] Sitpril 500mg | Cream | Alembic
918. [918] Relepam 500mg | Tablet | Sanofi
919. [919] Meroconazole O 50mcg | Tablet | Aurobindo
920. [920] Penral Forte 40mg | Drops | Emcure
921. [921] Amokast 500mg | Drops | FDC
922. [922] Dapclav D 50mcg | Ointment | Alkem
923. [923] Cilprazole 100mcg | Tablet | Pfizer
924. [924] Ribatidine 2.5mg | Injection | Alembic
925. [925] Vabopride SR 200mg | Powder | Torrent
926. [926] Sofcet 400mg | Inhaler | Aristo
927. [927] Telprofen 250mg | Capsule | Abbott
928. [928] Acipine D 1gm | Cream | Biocon
929. [929] Farformin O 100mg | Drops | FDC
930. [930] Amoxicam 1mg | Syrup | Lupin
931. [931] Penfenac D 0.5mg | Capsule | Abbott
932. [932] Cloxpenem M 25mg | Tablet | Aurobindo
933. [933] Vabocet M 75mg | Syrup | FDC
934. [934] Aciprofen O 40mg | Syrup | Ipca
935. [935] Oxapril 10ml | Ointment | Emcure
936. [936] Biamicin 40mg | Inhaler | Cipla
937. [937] Azithxacin D 5ml | Capsule | Intas
938. [938] Atorpril M 200mcg | Inhaler | Mankind
939. [939] Dapflozin 10ml | Powder | Wockhardt
940. [940] Cidstin 2mg | Injection | Cipla
941. [941] Ganxacin A 25mg | Inhaler | Serum Institute
942. [942] Paniline SR 200mg | Cream | Ipca
943. [943] Panipine D 40mg | Syrup | FDC
944. [944] Linprazole 40mg | Sachet | Glenmark
945. [945] Colmine Forte 0.5mg | Inhaler | Novartis
946. [946] Merosetron 2gm | Powder | Sanofi
947. [947] Amoxstatin 800mg | Syrup | Macleods
948. [948] Amlxicam 800mg | Syrup | Alkem
949. [949] Relefine D 40mg | Ointment | Wockhardt
950. [950] Sofstin D 40mg | Sachet | Intas
951. [951] Dapvir 25mg | Tablet | Torrent
952. [952] Eryflozin 20mg | Cream | Mankind
953. [953] Bacasvir 10ml | Ointment | Abbott
954. [954] Cidline 20ml | Injection | Dr. Reddys
955. [955] Novezepam D 0.5mg | Sachet | Serum Institute
956. [956] Novepril Forte 10mg | Syrup | Intas
957. [957] Amotidine A 400mg | Sachet | Macleods
958. [958] Bialine A 200mcg | Syrup | GSK
959. [959] Teltine 1mg | Sachet | Aurobindo
960. [960] Cidcet ER 10mg | Drops | Cipla
961. [961] Linkast D 20ml | Drops | Pfizer
962. [962] Nafprevir 200mg | Capsule | Aristo
